"SNO","FileNO","n","pt","n0","mu","multilevel_community_modularity","walktrap_community_modularity","infomap_community_modularity","louvain_community_modularity","label_pop_community_modularity","fast_community_modularity","multilevel_community_size","walktrap_community_size","infomap_community_size","louvain_community_size","label_pop_community_size","fast_community_size","clustering_coefficient","average_path_length","number_of_nodes"
"278","278.gml","4000","0.7","5","0.4","0.572299146280226","0.493952035903931","0.507544830944686","0.572299146280226","0.549433852083876","0.531563069272405","24","221","304","24","202","16","0.135353444697488","4.1534653618934","4015"
"279","279.gml","4000","0.7","5","0.6","0.54557562579765","0.414773672819138","0.482104398940907","0.54557562579765","0.0206541294240911","0.51145968882529","34","503","354","34","19","26","0.140598895870697","4.16685014652949","4015"
"280","280.gml","4000","0.7","5","0.8","0.525207564011936","0.397972136735916","0.462842607248937","0.525207564011936","0.0302375215293745","0.500243398064444","36","437","375","36","32","27","0.128366650607499","3.96494002001711","4015"
"281","281.gml","4000","0.7","10","0","0.978879672031402","0.976181089878082","0.9311902174784","0.978879672031402","0.927539740377459","0.979009092184452","56","85","203","56","224","56","0.348321903574397","3.45370365572454","4030"
"282","282.gml","4000","0.7","10","0.2","0.779316479252042","0.758911967277527","0.740672756912789","0.779316479252042","0.737657696682387","0.657415318094712","40","88","176","40","174","15","0.197131913519001","4.58047985849489","4030"
"283","283.gml","4000","0.7","10","0.4","0.600520463419613","0.543096780776978","0.558223163300007","0.600520463419613","0.566842080357972","0.542437058804356","30","171","249","30","207","18","0.171859771649919","4.33643590174707","4030"
"284","284.gml","4000","0.7","10","0.6","0.540831443624717","0.413227945566177","0.477681966560342","0.540831443624717","0.0294291924256429","0.515087803645015","35","403","373","35","25","24","0.139891750431214","4.16134920092358","4030"
"285","285.gml","4000","0.7","10","0.8","0.557731571017098","0.42399787902832","0.494974471179602","0.557731571017098","0.0506397353461932","0.527050047891799","38","405","370","38","46","31","0.139769820469396","4.09768582245223","4030"
"286","286.gml","4000","0.7","20","0","0.977975220605658","0.972687005996704","0.924791543620735","0.977975220605658","0.912981781220427","0.977975220605662","58","89","219","58","245","58","0.330941909515231","3.78210156756636","4060"
"287","287.gml","4000","0.7","20","0.2","0.796699119732067","0.780372679233551","0.760725821881123","0.796699119732067","0.738483598915486","0.723823754472513","45","104","205","45","273","20","0.270313729318731","5.25635460698539","4060"
"288","288.gml","4000","0.7","20","0.4","0.566474430655177","0.493352621793747","0.510116065037786","0.566474430655177","0.559734317495668","0.521224914495486","23","235","282","23","158","19","0.139815225636548","4.10452925263691","4060"
"289","289.gml","4000","0.7","20","0.6","0.550645190057725","0.441823840141296","0.495642897245696","0.550645190057725","0.0144979672935696","0.526398924652987","33","331","357","33","18","22","0.18409537398032","4.28903464538452","4060"
"290","290.gml","4000","0.7","20","0.8","0.544647195910776","0.406333655118942","0.481533268652718","0.544647195910776","0.465341204389065","0.504147348587099","35","410","368","35","400","32","0.142861288089504","4.06984588162048","4060"
"291","291.gml","4000","0.7","30","0","0.982903715738567","0.980754137039185","0.944089368002491","0.982903715738567","0.936325055563696","0.982903715738572","79","72","207","79","244","79","0.385036683477985","3.07940877143852","4090"
"292","292.gml","4000","0.7","30","0.2","0.783390210981914","0.761505484580994","0.748706943052704","0.783390210981914","0.746547892219412","0.68722327020103","43","113","183","43","180","21","0.222854017198392","4.78317604450129","4090"
"293","293.gml","4000","0.7","30","0.4","0.621612554589531","0.575769543647766","0.581362190196099","0.621612554589531","0.0278170877986665","0.571062946855934","32","200","264","32","15","19","0.254784030324115","4.55542468582595","4090"
"294","294.gml","4000","0.7","30","0.6","0.54310104227166","0.426934629678726","0.483970819865661","0.54310104227166","0.0176647685664504","0.514701725887603","31","418","348","31","21","26","0.150051507969078","4.16195242648145","4090"
"295","295.gml","4000","0.7","30","0.8","0.547283539355446","0.408414661884308","0.483078984177535","0.547283539355446","0.0429258193725328","0.518901242476817","38","430","382","38","34","28","0.147382370726812","4.12361999305191","4090"
"296","296.gml","4000","0.7","40","0","0.979768141003355","0.97549706697464","0.928917183430444","0.979768141003355","0.928311081009969","0.979768141003357","57","91","212","57","224","57","0.349581018864337","3.41035330671064","4120"
"297","297.gml","4000","0.7","40","0.2","0.77830868824685","0.757047057151794","0.743094067517499","0.77830868824685","0.739594329699432","0.672347955250971","41","96","177","41","173","17","0.196303857311701","4.56019523543513","4120"
"298","298.gml","4000","0.7","40","0.4","0.611145043617462","0.556546211242676","0.565412028113183","0.611145043617462","0.587983662796733","0.549653407731203","31","188","265","31","197","18","0.181567176542051","4.43348984224185","4120"
"299","299.gml","4000","0.7","40","0.6","0.541663118185859","0.399701356887817","0.475260084237282","0.541663118185859","0.484187128322465","0.506428529162826","35","522","374","35","326","22","0.148625947822213","4.18677087237217","4120"
"300","300.gml","4000","0.7","40","0.8","0.537886010055904","0.407825946807861","0.474232531968326","0.537886010055904","0.0376941692889107","0.507204664957962","36","461","379","36","35","27","0.136033755903369","4.01422086141183","4120"
"301","301.gml","1000","0.9","5","0","0.950605222032916","0.948500692844391","0.926543492118653","0.950605222032916","0.917968737621854","0.950605222032917","27","34","55","27","59","27","0.394402579241765","3.07293447293447","1015"
"302","302.gml","1000","0.9","5","0.2","0.756757668770492","0.739588141441345","0.716757043262536","0.756757668770492","0.692607712613304","0.684400139300764","21","46","77","21","75","14","0.2874835763672","4.40302173511723","1015"
"303","303.gml","1000","0.9","5","0.4","0.587634104461803","0.54409122467041","0.54381576481281","0.587634104461803","0.344222029459177","0.554817372273502","17","68","95","17","21","16","0.224034782608696","3.8145509662751","1015"
